type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
.NET,.net开发工程师[东门],斯贝达电子,13000,20000,经验3-5年,大专,其他 / 未融资 / 15-50人,15-50,金蝶星空云/智能硬件/制造业,加班很少，团队氛围活跃,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/5B/69/CgpEMlmIRMuABil9AAAhhkPeNWo763.jpg,深圳
.NET,.net开发工程师[科技园],高禾泰,7000,10000,经验1-3年,大专,数据服务 / 未融资 / 15-50人,15-50,软件服务｜咨询/IT技术服务｜咨询,大牛带领，带薪年假，周末双休,https://www.lgstatic.com/thumbnail_120x120/image1/M00/09/39/CgYXBlTbIXqATRyvAABjjeo9Uz0214.png,深圳
.NET,.Net Core开发工程师（初级）1017[南山区],震有科技,10000,15000,经验1-3年,本科,"其他,硬件 / 上市公司 / 500-2000人",500-2000,软件服务｜咨询/网络通信,领导好 发展空间大 六险一金,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/8F/4B/Ciqc1GAHkDyAYY9-AAHfvJiI8W8210.png,深圳
.NET,.Net Core开发工程师1014[南山区],震有科技,15000,20000,经验3-5年,本科,"其他,硬件 / 上市公司 / 500-2000人",500-2000,网络通信/Python,领导好 发展空间大 六险一金,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/8F/4B/Ciqc1GAHkDyAYY9-AAHfvJiI8W8210.png,深圳
.NET,.net开发工程师[宝安区],携康科技,15000,25000,经验3-5年,本科,IT技术服务｜咨询 / 未融资 / 50-150人,50-150,软件服务｜咨询/IT技术服务｜咨询,蓝海领域，高速发展，职等你来,https://www.lgstatic.com/thumbnail_120x120/10/55f161ddf95a4e2e938a93192e18526d.png,深圳
.NET,软件开发工程师 .NET方向[科技园],金蝶,15000,25000,经验3-5年,本科,软件服务｜咨询 / 上市公司 / 2000人以上,2000,软件服务｜咨询/IT技术服务｜咨询,年终福利、部门团建、带薪年假,https://www.lgstatic.com/thumbnail_120x120/i/image2/M00/48/95/CgotOVrf4a6AeNuJAABB14uGkI4724.jpg,深圳
.NET,.NET/C# 高级开发工程师[大冲],道旅旅游,18000,25000,经验5-10年,大专,"电商,旅游 / 上市公司 / 150-500人",150-500,旅游｜出行/电商平台,强度适中 无加班文化 技术前卫 高并发环境,https://www.lgstatic.com/thumbnail_120x120/i/image3/M00/41/7F/Cgq2xlq0a-eAO4HqAADlXs5zbJY384.png,深圳
.NET,.net开发工程师[科技园],金蝶,15000,25000,经验3-5年,本科,软件服务｜咨询 / 上市公司 / 2000人以上,2000,软件服务｜咨询/ERP,上市公司，每周双休，公司及部门氛围轻松,https://www.lgstatic.com/thumbnail_120x120/i/image2/M00/48/95/CgotOVrf4a6AeNuJAABB14uGkI4724.jpg,深圳
.NET,.Net开发工程师[大冲],金蝶,12000,18000,经验3-5年,本科,企业服务 / 上市公司 / 50-150人,50-150,企业服务/工具软件/C#/MySQL,五险一金 带薪年假,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/11/Cgo8PFTUWDGAFjALAABFTEpL-4A053.jpg,深圳
.NET,.net开发[科技园],金蝶,12000,24000,经验1-3年,本科,企业服务 / 上市公司 / 50-150人,50-150,C++/ERP/HRIS,负责海外业务，拓展职业视野,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/11/Cgo8PFTUWDGAFjALAABFTEpL-4A053.jpg,深圳
